 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
0 8.227e+33 1.201e+14 -2.134e+06 4.69e-13 0.5933 0.3866
1 8.227e+33 1.207e+14 -2.118e+06 4.651e-13 0.5933 0.3866
2 8.227e+33 1.212e+14 -2.101e+06 4.611e-13 0.5933 0.3866
3 8.228e+33 1.217e+14 -2.084e+06 4.572e-13 0.5933 0.3866
4 8.228e+33 1.223e+14 -2.067e+06 4.533e-13 0.5933 0.3866
5 8.228e+33 1.228e+14 -2.05e+06 4.494e-13 0.5933 0.3866
6 8.228e+33 1.233e+14 -2.033e+06 4.462e-13 0.5933 0.3866
7 8.228e+33 1.239e+14 -2.017e+06 4.433e-13 0.5933 0.3866
8 8.228e+33 1.244e+14 -2e+06 4.405e-13 0.5933 0.3866
9 8.228e+33 1.25e+14 -1.984e+06 4.376e-13 0.5933 0.3866
10 8.228e+33 1.255e+14 -1.967e+06 4.347e-13 0.5933 0.3866
11 8.228e+33 1.261e+14 -1.951e+06 4.319e-13 0.5933 0.3866
12 8.228e+33 1.267e+14 -1.934e+06 4.286e-13 0.5933 0.3866
13 8.228e+33 1.272e+14 -1.917e+06 4.252e-13 0.5933 0.3866
14 8.228e+33 1.278e+14 -1.901e+06 4.217e-13 0.5933 0.3866
15 8.228e+33 1.283e+14 -1.884e+06 4.183e-13 0.5933 0.3866
16 8.228e+33 1.289e+14 -1.867e+06 4.149e-13 0.5933 0.3866
17 8.228e+33 1.295e+14 -1.85e+06 4.115e-13 0.5933 0.3866
18 8.228e+33 1.301e+14 -1.833e+06 4.086e-13 0.5933 0.3866
19 8.228e+33 1.306e+14 -1.817e+06 4.057e-13 0.5933 0.3866
20 8.228e+33 1.312e+14 -1.8e+06 4.028e-13 0.5933 0.3866
21 8.228e+33 1.318e+14 -1.783e+06 3.999e-13 0.5933 0.3866
22 8.228e+33 1.324e+14 -1.767e+06 3.971e-13 0.5933 0.3866
23 8.228e+33 1.33e+14 -1.75e+06 3.948e-13 0.5933 0.3866
24 8.229e+33 1.336e+14 -1.734e+06 3.935e-13 0.5933 0.3866
25 8.229e+33 1.341e+14 -1.717e+06 3.922e-13 0.5933 0.3866
26 8.229e+33 1.347e+14 -1.701e+06 3.909e-13 0.5933 0.3866
27 8.229e+33 1.353e+14 -1.684e+06 3.896e-13 0.5933 0.3866
28 8.229e+33 1.359e+14 -1.667e+06 3.882e-13 0.5933 0.3866
29 8.229e+33 1.365e+14 -1.651e+06 3.864e-13 0.5933 0.3866
30 8.229e+33 1.371e+14 -1.634e+06 3.846e-13 0.5933 0.3866
31 8.229e+33 1.377e+14 -1.617e+06 3.828e-13 0.5933 0.3866
32 8.229e+33 1.384e+14 -1.6e+06 3.81e-13 0.5933 0.3866
33 8.229e+33 1.39e+14 -1.583e+06 3.792e-13 0.5933 0.3866
34 8.229e+33 1.396e+14 -1.566e+06 3.78e-13 0.5933 0.3866
35 8.229e+33 1.402e+14 -1.549e+06 3.767e-13 0.5933 0.3866
36 8.229e+33 1.408e+14 -1.532e+06 3.754e-13 0.5933 0.3866
37 8.229e+33 1.414e+14 -1.514e+06 3.742e-13 0.5933 0.3866
38 8.229e+33 1.421e+14 -1.497e+06 3.716e-13 0.5933 0.3866
39 8.229e+33 1.427e+14 -1.48e+06 3.663e-13 0.5933 0.3866
40 8.229e+33 1.433e+14 -1.463e+06 3.611e-13 0.5933 0.3866
41 8.229e+33 1.44e+14 -1.446e+06 3.559e-13 0.5933 0.3866
42 8.23e+33 1.446e+14 -1.429e+06 3.507e-13 0.5933 0.3866
43 8.23e+33 1.452e+14 -1.412e+06 3.471e-13 0.5933 0.3866
44 8.23e+33 1.459e+14 -1.396e+06 3.45e-13 0.5933 0.3866
45 8.23e+33 1.465e+14 -1.379e+06 3.428e-13 0.5933 0.3866
46 8.23e+33 1.472e+14 -1.362e+06 3.407e-13 0.5933 0.3866
47 8.23e+33 1.478e+14 -1.345e+06 3.385e-13 0.5933 0.3866
48 8.23e+33 1.485e+14 -1.328e+06 3.373e-13 0.5933 0.3866
49 8.23e+33 1.491e+14 -1.311e+06 3.362e-13 0.5933 0.3866
50 8.23e+33 1.498e+14 -1.295e+06 3.352e-13 0.5933 0.3866
51 8.23e+33 1.505e+14 -1.278e+06 3.341e-13 0.5933 0.3866
52 8.23e+33 1.511e+14 -1.261e+06 3.327e-13 0.5933 0.3866
53 8.23e+33 1.518e+14 -1.244e+06 3.308e-13 0.5933 0.3866
54 8.23e+33 1.525e+14 -1.226e+06 3.288e-13 0.5933 0.3866
55 8.23e+33 1.532e+14 -1.209e+06 3.269e-13 0.5933 0.3866
56 8.23e+33 1.538e+14 -1.192e+06 3.249e-13 0.5933 0.3866
57 8.23e+33 1.545e+14 -1.175e+06 3.228e-13 0.5933 0.3866
58 8.23e+33 1.552e+14 -1.158e+06 3.208e-13 0.5933 0.3866
59 8.231e+33 1.559e+14 -1.141e+06 3.187e-13 0.5933 0.3866
60 8.231e+33 1.566e+14 -1.123e+06 3.166e-13 0.5933 0.3866
61 8.231e+33 1.573e+14 -1.107e+06 3.131e-13 0.5933 0.3866
62 8.231e+33 1.58e+14 -1.09e+06 3.095e-13 0.5933 0.3866
63 8.231e+33 1.587e+14 -1.073e+06 3.06e-13 0.5933 0.3866
64 8.231e+33 1.594e+14 -1.056e+06 3.025e-13 0.5933 0.3866
65 8.231e+33 1.601e+14 -1.04e+06 3.007e-13 0.5933 0.3866
