j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
0 -1.970e+40 1.000e+14 1.000e+07 1.584e-05 7.000e-01 2.800e-01
1 -1.970e+40 1.009e+14 1.000e+07 1.555e-05 7.000e-01 2.800e-01
2 -1.970e+40 1.019e+14 1.000e+07 1.526e-05 7.000e-01 2.800e-01
3 -1.970e+40 1.028e+14 1.000e+07 1.498e-05 7.000e-01 2.800e-01
4 -1.969e+40 1.038e+14 1.000e+07 1.471e-05 7.000e-01 2.800e-01
5 -1.969e+40 1.047e+14 1.000e+07 1.444e-05 7.000e-01 2.800e-01
6 -1.969e+40 1.057e+14 1.000e+07 1.418e-05 7.000e-01 2.800e-01
7 -1.969e+40 1.067e+14 1.000e+07 1.392e-05 7.000e-01 2.800e-01
8 -1.969e+40 1.077e+14 1.000e+07 1.366e-05 7.000e-01 2.800e-01
9 -1.968e+40 1.087e+14 1.000e+07 1.341e-05 7.000e-01 2.800e-01
10 -1.968e+40 1.097e+14 1.000e+07 1.317e-05 7.000e-01 2.800e-01
11 -1.968e+40 1.107e+14 1.000e+07 1.293e-05 7.000e-01 2.800e-01
12 -1.968e+40 1.117e+14 1.000e+07 1.269e-05 7.000e-01 2.800e-01
13 -1.968e+40 1.127e+14 1.000e+07 1.246e-05 7.000e-01 2.800e-01
14 -1.967e+40 1.138e+14 1.000e+07 1.223e-05 7.000e-01 2.800e-01
15 -1.967e+40 1.148e+14 1.000e+07 1.201e-05 7.000e-01 2.800e-01
16 -1.967e+40 1.159e+14 1.000e+07 1.179e-05 7.000e-01 2.800e-01
17 -1.967e+40 1.170e+14 1.000e+07 1.157e-05 7.000e-01 2.800e-01
18 -1.967e+40 1.181e+14 1.000e+07 1.136e-05 7.000e-01 2.800e-01
19 -1.966e+40 1.192e+14 1.000e+07 1.115e-05 7.000e-01 2.800e-01
20 -1.966e+40 1.203e+14 1.000e+07 1.095e-05 7.000e-01 2.800e-01
21 -1.966e+40 1.214e+14 1.000e+07 1.075e-05 7.000e-01 2.800e-01
22 -1.966e+40 1.225e+14 1.000e+07 1.055e-05 7.000e-01 2.800e-01
23 -1.965e+40 1.236e+14 1.000e+07 1.036e-05 7.000e-01 2.800e-01
24 -1.965e+40 1.248e+14 1.000e+07 1.017e-05 7.000e-01 2.800e-01
25 -1.965e+40 1.260e+14 1.000e+07 9.983e-06 7.000e-01 2.800e-01
26 -1.965e+40 1.271e+14 1.000e+07 9.800e-06 7.000e-01 2.800e-01
27 -1.964e+40 1.283e+14 1.000e+07 9.621e-06 7.000e-01 2.800e-01
28 -1.964e+40 1.295e+14 1.000e+07 9.445e-06 7.000e-01 2.800e-01
29 -1.964e+40 1.307e+14 1.000e+07 9.272e-06 7.000e-01 2.800e-01
30 -1.964e+40 1.319e+14 1.000e+07 9.103e-06 7.000e-01 2.800e-01
31 -1.964e+40 1.331e+14 1.000e+07 8.936e-06 7.000e-01 2.800e-01
32 -1.963e+40 1.344e+14 1.000e+07 8.773e-06 7.000e-01 2.800e-01
33 -1.963e+40 1.356e+14 1.000e+07 8.612e-06 7.000e-01 2.800e-01
34 -1.963e+40 1.369e+14 1.000e+07 8.455e-06 7.000e-01 2.800e-01
35 -1.963e+40 1.381e+14 1.000e+07 8.300e-06 7.000e-01 2.800e-01
36 -1.962e+40 1.394e+14 1.000e+07 8.148e-06 7.000e-01 2.800e-01
37 -1.962e+40 1.407e+14 1.000e+07 7.999e-06 7.000e-01 2.800e-01
38 -1.962e+40 1.420e+14 1.000e+07 7.853e-06 7.000e-01 2.800e-01
39 -1.961e+40 1.433e+14 1.000e+07 7.709e-06 7.000e-01 2.800e-01
40 -1.961e+40 1.447e+14 1.000e+07 7.568e-06 7.000e-01 2.800e-01
41 -1.961e+40 1.460e+14 1.000e+07 7.430e-06 7.000e-01 2.800e-01
42 -1.961e+40 1.473e+14 1.000e+07 7.294e-06 7.000e-01 2.800e-01
43 -1.960e+40 1.487e+14 1.000e+07 7.161e-06 7.000e-01 2.800e-01
44 -1.960e+40 1.501e+14 1.000e+07 7.030e-06 7.000e-01 2.800e-01
45 -1.960e+40 1.515e+14 1.000e+07 6.901e-06 7.000e-01 2.800e-01
46 -1.960e+40 1.529e+14 1.000e+07 6.775e-06 7.000e-01 2.800e-01
47 -1.959e+40 1.543e+14 1.000e+07 6.651e-06 7.000e-01 2.800e-01
48 -1.959e+40 1.557e+14 1.000e+07 6.529e-06 7.000e-01 2.800e-01
49 -1.959e+40 1.572e+14 1.000e+07 6.410e-06 7.000e-01 2.800e-01
50 -1.958e+40 1.586e+14 1.000e+07 6.293e-06 7.000e-01 2.800e-01
51 -1.958e+40 1.601e+14 1.000e+07 6.178e-06 7.000e-01 2.800e-01
52 -1.958e+40 1.616e+14 1.000e+07 6.065e-06 7.000e-01 2.800e-01
53 -1.958e+40 1.631e+14 1.000e+07 5.954e-06 7.000e-01 2.800e-01
54 -1.957e+40 1.646e+14 1.000e+07 5.845e-06 7.000e-01 2.800e-01
55 -1.957e+40 1.661e+14 1.000e+07 5.738e-06 7.000e-01 2.800e-01
56 -1.957e+40 1.677e+14 1.000e+07 5.633e-06 7.000e-01 2.800e-01
57 -1.956e+40 1.692e+14 1.000e+07 5.530e-06 7.000e-01 2.800e-01
58 -1.956e+40 1.708e+14 1.000e+07 5.429e-06 7.000e-01 2.800e-01
59 -1.956e+40 1.724e+14 1.000e+07 5.330e-06 7.000e-01 2.800e-01
60 -1.955e+40 1.740e+14 1.000e+07 5.232e-06 7.000e-01 2.800e-01
61 -1.955e+40 1.756e+14 1.000e+07 5.136e-06 7.000e-01 2.800e-01
62 -1.955e+40 1.772e+14 1.000e+07 5.043e-06 7.000e-01 2.800e-01
63 -1.954e+40 1.789e+14 1.000e+07 4.950e-06 7.000e-01 2.800e-01
64 -1.954e+40 1.805e+14 1.000e+07 4.860e-06 7.000e-01 2.800e-01
65 -1.954e+40 1.822e+14 1.000e+07 4.771e-06 7.000e-01 2.800e-01
66 -1.953e+40 1.839e+14 1.000e+07 4.684e-06 7.000e-01 2.800e-01
67 -1.953e+40 1.856e+14 1.000e+07 4.598e-06 7.000e-01 2.800e-01
68 -1.953e+40 1.873e+14 1.000e+07 4.514e-06 7.000e-01 2.800e-01
69 -1.952e+40 1.890e+14 1.000e+07 4.431e-06 7.000e-01 2.800e-01
70 -1.952e+40 1.908e+14 1.000e+07 4.350e-06 7.000e-01 2.800e-01
