3.0000E-03 6.5760E-15
1.0000E-03 3.5420E-01 1.2907E-04
1.0100E-03 3.5420E-01 1.2612E-04
1.0200E-03 3.5420E-01 1.2326E-04
1.0301E-03 3.5420E-01 1.2049E-04
1.0401E-03 3.5419E-01 1.1781E-04
1.0501E-03 3.5419E-01 1.1521E-04
1.0601E-03 3.5419E-01 1.1270E-04
1.0701E-03 3.5419E-01 1.1025E-04
1.0802E-03 3.5418E-01 1.0788E-04
1.0902E-03 3.5418E-01 1.0559E-04
1.1002E-03 3.5418E-01 1.0335E-04
1.1102E-03 3.5418E-01 1.0119E-04
1.1202E-03 3.5417E-01 9.9086E-05
1.1303E-03 3.5417E-01 9.7044E-05
1.1403E-03 3.5417E-01 9.5061E-05
1.1503E-03 3.5417E-01 9.3134E-05
1.1603E-03 3.5417E-01 9.1261E-05
1.1703E-03 3.5416E-01 8.9438E-05
1.1804E-03 3.5416E-01 8.7668E-05
1.1904E-03 3.5416E-01 8.5945E-05
1.2004E-03 3.5416E-01 8.4273E-05
1.2104E-03 3.5416E-01 8.2648E-05
1.2204E-03 3.5416E-01 8.1065E-05
1.2305E-03 3.5415E-01 7.9525E-05
1.2405E-03 3.5415E-01 7.8029E-05
1.2505E-03 3.5415E-01 7.6564E-05
1.2605E-03 3.5415E-01 7.5140E-05
1.2705E-03 3.5415E-01 7.3754E-05
1.2806E-03 3.5415E-01 7.2402E-05
1.2906E-03 3.5415E-01 7.1085E-05
1.3006E-03 3.5415E-01 6.9802E-05
1.3106E-03 3.5414E-01 6.8570E-05
1.3206E-03 3.5414E-01 6.7328E-05
1.3307E-03 3.5414E-01 6.6137E-05
1.3407E-03 3.5414E-01 6.4975E-05
1.3507E-03 3.5414E-01 6.3841E-05
1.3607E-03 3.5414E-01 6.2734E-05
1.3707E-03 3.5414E-01 6.1654E-05
1.3808E-03 3.5414E-01 6.0599E-05
1.3908E-03 3.5413E-01 5.9572E-05
1.4008E-03 3.5413E-01 5.8568E-05
1.4108E-03 3.5413E-01 5.7581E-05
1.4208E-03 3.5413E-01 5.6622E-05
1.4309E-03 3.5413E-01 5.5684E-05
1.4409E-03 3.5413E-01 5.4768E-05
1.4509E-03 3.5413E-01 5.3874E-05
1.4609E-03 3.5413E-01 5.3007E-05
1.4709E-03 3.5413E-01 5.2145E-05
1.4810E-03 3.5413E-01 5.1309E-05
1.4910E-03 3.5413E-01 5.0486E-05
1.5010E-03 3.5412E-01 4.9687E-05
1.5110E-03 3.5412E-01 4.8914E-05
1.5210E-03 3.5414E-01 6.6486E-05
1.5311E-03 3.5412E-01 4.7396E-05
1.5411E-03 3.5412E-01 4.6708E-05
1.5511E-03 3.5412E-01 4.5954E-05
1.5611E-03 3.5412E-01 4.5264E-05
1.5711E-03 3.5412E-01 4.4565E-05
1.5812E-03 3.5412E-01 4.3893E-05
1.5912E-03 3.5412E-01 4.3236E-05
1.6012E-03 3.5412E-01 4.2592E-05
1.6112E-03 3.5412E-01 4.1964E-05
1.6212E-03 3.5412E-01 4.1561E-05
1.6313E-03 3.5412E-01 4.0949E-05
1.6413E-03 3.5411E-01 4.0144E-05
1.6513E-03 3.5411E-01 3.9567E-05
1.6613E-03 3.5411E-01 3.8994E-05
1.6713E-03 3.5411E-01 3.8456E-05
1.6814E-03 3.5411E-01 3.7890E-05
1.6914E-03 3.5411E-01 3.7352E-05
