 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
3  0.1898895040E+31  0.7236194734E+13  0.0000000000E+00  0.2230597613E-05  0.5933254450E+00  0.3866232757E+00
4  0.3797621240E+31  0.7237391965E+13 -0.7579921076E+05  0.2409807014E-05  0.5933254450E+00  0.3866232757E+00
5  0.5696178601E+31  0.7238638427E+13  0.1540071202E+05  0.2313639623E-05  0.5933254450E+00  0.3866232757E+00
6  0.7594567122E+31  0.7239907304E+13  0.1481965839E+05  0.2271777676E-05  0.5933254450E+00  0.3866232757E+00
7  0.9492786804E+31  0.7241191061E+13  0.1200298608E+05  0.2244454500E-05  0.5933254450E+00  0.3866232757E+00
8  0.1139083765E+32  0.7242482639E+13  0.9823990793E+04  0.2229872717E-05  0.5933254450E+00  0.3866232757E+00
9  0.1328871965E+32  0.7243777450E+13  0.1033008328E+05  0.2223311119E-05  0.5933254450E+00  0.3866232757E+00
10  0.1518643281E+32  0.7245072996E+13  0.1319949668E+05  0.2221058998E-05  0.5933254450E+00  0.3866232757E+00
11  0.1708397714E+32  0.7246368165E+13  0.1738669150E+05  0.2220711583E-05  0.5933254450E+00  0.3866232757E+00
12  0.1898135262E+32  0.7247662448E+13  0.2273558086E+05  0.2221242061E-05  0.5933254450E+00  0.3866232757E+00
13  0.2087855927E+32  0.7248955099E+13  0.3218789997E+05  0.2223054275E-05  0.5933254450E+00  0.3866232757E+00
14  0.2277559707E+32  0.7250245071E+13  0.4658132532E+05  0.2226680212E-05  0.5933254450E+00  0.3866232757E+00
15  0.2467246604E+32  0.7251531617E+13  0.6432326426E+05  0.2231616921E-05  0.5933254450E+00  0.3866232757E+00
16  0.2656916617E+32  0.7252813036E+13  0.9146410586E+05  0.2239553945E-05  0.5933254450E+00  0.3866232757E+00
17  0.2846569745E+32  0.7254083731E+13  0.1472829621E+06  0.2257458324E-05  0.5933254450E+00  0.3866232757E+00
18  0.3036205990E+32  0.7255335267E+13  0.2496759415E+06  0.2291016302E-05  0.5933254450E+00  0.3866232757E+00
19  0.3225825351E+32  0.7256563891E+13  0.3751527972E+06  0.2332734119E-05  0.5933254450E+00  0.3866232757E+00
20  0.3415427828E+32  0.7257780934E+13  0.4421916083E+06  0.2353928035E-05  0.5933254450E+00  0.3866232757E+00
21  0.3605013421E+32  0.7258997809E+13  0.4369460016E+06  0.2353254140E-05  0.5933254450E+00  0.3866232757E+00
22  0.3794582130E+32  0.7260227317E+13  0.3622056904E+06  0.2328083448E-05  0.5933254450E+00  0.3866232757E+00
23  0.3984133955E+32  0.7261486501E+13  0.1885625887E+06  0.2272234376E-05  0.5933254450E+00  0.3866232757E+00
24  0.4173668896E+32  0.7262769488E+13  0.5396671248E+05  0.2229099468E-05  0.5933254450E+00  0.3866232757E+00
25  0.4363186953E+32  0.7264061009E+13  0.6401118081E+04  0.2213388579E-05  0.5933254450E+00  0.3866232757E+00
26  0.4552688127E+32  0.7265353923E+13 -0.1125588196E+04  0.2210018966E-05  0.5933254450E+00  0.3866232757E+00
27  0.4742172416E+32  0.7266647157E+13 -0.2462335721E+04  0.2208489607E-05  0.5933254450E+00  0.3866232757E+00
28  0.4931639821E+32  0.7267940546E+13 -0.2875322843E+04  0.2207243031E-05  0.5933254450E+00  0.3866232757E+00
29  0.5121090343E+32  0.7269234054E+13 -0.3026791660E+04  0.2206057184E-05  0.5933254450E+00  0.3866232757E+00
30  0.5310523980E+32  0.7270527670E+13 -0.3091155223E+04  0.2204890957E-05  0.5933254450E+00  0.3866232757E+00
31  0.5499940734E+32  0.7271821392E+13 -0.3142313756E+04  0.2203730391E-05  0.5933254450E+00  0.3866232757E+00
32  0.5689340603E+32  0.7273115213E+13 -0.3192550066E+04  0.2202581178E-05  0.5933254450E+00  0.3866232757E+00
33  0.5878723589E+32  0.7274409110E+13 -0.3259048283E+04  0.2201472076E-05  0.5933254450E+00  0.3866232757E+00
34  0.6068089691E+32  0.7275703027E+13 -0.3363482775E+04  0.2200458813E-05  0.5933254450E+00  0.3866232757E+00
35  0.6257438908E+32  0.7276996846E+13 -0.3518369586E+04  0.2199647512E-05  0.5933254450E+00  0.3866232757E+00
36  0.6446771242E+32  0.7278290362E+13 -0.3732155825E+04  0.2199183083E-05  0.5933254450E+00  0.3866232757E+00
37  0.6636086692E+32  0.7279583294E+13 -0.3945903258E+04  0.2199199169E-05  0.5933254450E+00  0.3866232757E+00
38  0.6825385258E+32  0.7280875411E+13 -0.4113253374E+04  0.2199608539E-05  0.5933254450E+00  0.3866232757E+00
39  0.7014666940E+32  0.7282166618E+13 -0.4117273442E+04  0.2200183492E-05  0.5933254450E+00  0.3866232757E+00
40  0.7203931738E+32  0.7283457128E+13 -0.3980983364E+04  0.2200392791E-05  0.5933254450E+00  0.3866232757E+00
41  0.7393179652E+32  0.7284747219E+13 -0.3845301213E+04  0.2200133013E-05  0.5933254450E+00  0.3866232757E+00
42  0.7582410682E+32  0.7286037146E+13 -0.3743370799E+04  0.2199436200E-05  0.5933254450E+00  0.3866232757E+00
43  0.7771624828E+32  0.7287327064E+13 -0.3709047341E+04  0.2198477593E-05  0.5933254450E+00  0.3866232757E+00
44  0.7960822091E+32  0.7288617053E+13 -0.3715970559E+04  0.2197382074E-05  0.5933254450E+00  0.3866232757E+00
45  0.8150002469E+32  0.7289907144E+13 -0.3749131551E+04  0.2196235060E-05  0.5933254450E+00  0.3866232757E+00
46  0.8339165963E+32  0.7291197349E+13 -0.3783713918E+04  0.2195066704E-05  0.5933254450E+00  0.3866232757E+00
47  0.8528312574E+32  0.7292487670E+13 -0.3816852892E+04  0.2193897639E-05  0.5933254450E+00  0.3866232757E+00
48  0.8717442300E+32  0.7293778105E+13 -0.3831829247E+04  0.2192732484E-05  0.5933254450E+00  0.3866232757E+00
49  0.8906555143E+32  0.7295068658E+13 -0.3828892819E+04  0.2191559577E-05  0.5933254450E+00  0.3866232757E+00
50  0.9095651101E+32  0.7296359326E+13 -0.3949497632E+04  0.2190393785E-05  0.5933254450E+00  0.3866232757E+00
51  0.9284730176E+32  0.7297650144E+13 -0.4029728764E+04  0.2189169003E-05  0.5933254450E+00  0.3866232757E+00
52  0.9473792367E+32  0.7298941031E+13 -0.4109978623E+04  0.2188083336E-05  0.5933254450E+00  0.3866232757E+00
53  0.9662837673E+32  0.7300231668E+13 -0.2033550887E+04  0.2187536494E-05  0.5933254450E+00  0.3866232757E+00
54  0.9851866096E+32  0.7301521689E+13  0.1621978364E+04  0.2187612338E-05  0.5933254450E+00  0.3866232757E+00
55  0.1004087763E+33  0.7302810861E+13  0.6598209851E+04  0.2188084780E-05  0.5933254450E+00  0.3866232757E+00
56  0.1022987229E+33  0.7304099331E+13  0.1091779296E+05  0.2188308550E-05  0.5933254450E+00  0.3866232757E+00
57  0.1041885006E+33  0.7305387373E+13  0.1369450680E+05  0.2188069293E-05  0.5933254450E+00  0.3866232757E+00
