j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
1 1.401e+29 1.009e+14 1.000e+07 1.181e-12 7.000e-01 2.800e-01
2 2.821e+29 1.019e+14 1.000e+07 1.164e-12 7.000e-01 2.800e-01
3 4.259e+29 1.028e+14 1.000e+07 1.146e-12 7.000e-01 2.800e-01
4 5.716e+29 1.038e+14 1.000e+07 1.130e-12 7.000e-01 2.800e-01
5 7.192e+29 1.047e+14 1.000e+07 1.113e-12 7.000e-01 2.800e-01
6 8.686e+29 1.057e+14 1.000e+07 1.097e-12 7.000e-01 2.800e-01
7 1.020e+30 1.067e+14 1.000e+07 1.081e-12 7.000e-01 2.800e-01
8 1.173e+30 1.077e+14 1.000e+07 1.065e-12 7.000e-01 2.800e-01
9 1.329e+30 1.087e+14 1.000e+07 1.049e-12 7.000e-01 2.800e-01
10 1.486e+30 1.097e+14 1.000e+07 1.033e-12 7.000e-01 2.800e-01
11 1.646e+30 1.107e+14 1.000e+07 1.018e-12 7.000e-01 2.800e-01
12 1.807e+30 1.117e+14 1.000e+07 1.003e-12 7.000e-01 2.800e-01
13 1.971e+30 1.127e+14 1.000e+07 9.884e-13 7.000e-01 2.800e-01
14 2.136e+30 1.138e+14 1.000e+07 9.738e-13 7.000e-01 2.800e-01
15 2.304e+30 1.148e+14 1.000e+07 9.594e-13 7.000e-01 2.800e-01
16 2.474e+30 1.159e+14 1.000e+07 9.452e-13 7.000e-01 2.800e-01
17 2.646e+30 1.170e+14 1.000e+07 9.312e-13 7.000e-01 2.800e-01
18 2.820e+30 1.181e+14 1.000e+07 9.174e-13 7.000e-01 2.800e-01
19 2.997e+30 1.192e+14 1.000e+07 9.038e-13 7.000e-01 2.800e-01
20 3.176e+30 1.203e+14 1.000e+07 8.904e-13 7.000e-01 2.800e-01
21 3.357e+30 1.214e+14 1.000e+07 8.772e-13 7.000e-01 2.800e-01
22 3.540e+30 1.225e+14 1.000e+07 8.641e-13 7.000e-01 2.800e-01
23 3.726e+30 1.236e+14 1.000e+07 8.513e-13 7.000e-01 2.800e-01
24 3.914e+30 1.248e+14 1.000e+07 8.386e-13 7.000e-01 2.800e-01
25 4.105e+30 1.260e+14 1.000e+07 8.261e-13 7.000e-01 2.800e-01
26 4.298e+30 1.271e+14 1.000e+07 8.138e-13 7.000e-01 2.800e-01
27 4.493e+30 1.283e+14 1.000e+07 8.017e-13 7.000e-01 2.800e-01
28 4.691e+30 1.295e+14 1.000e+07 7.897e-13 7.000e-01 2.800e-01
29 4.891e+30 1.307e+14 1.000e+07 7.779e-13 7.000e-01 2.800e-01
30 5.094e+30 1.319e+14 1.000e+07 7.663e-13 7.000e-01 2.800e-01
31 5.300e+30 1.331e+14 1.000e+07 7.549e-13 7.000e-01 2.800e-01
32 5.508e+30 1.344e+14 1.000e+07 7.436e-13 7.000e-01 2.800e-01
33 5.719e+30 1.356e+14 1.000e+07 7.324e-13 7.000e-01 2.800e-01
34 5.933e+30 1.369e+14 1.000e+07 7.215e-13 7.000e-01 2.800e-01
35 6.149e+30 1.381e+14 1.000e+07 7.106e-13 7.000e-01 2.800e-01
36 6.368e+30 1.394e+14 1.000e+07 7.000e-13 7.000e-01 2.800e-01
37 6.589e+30 1.407e+14 1.000e+07 6.894e-13 7.000e-01 2.800e-01
38 6.814e+30 1.420e+14 1.000e+07 6.791e-13 7.000e-01 2.800e-01
39 7.041e+30 1.433e+14 1.000e+07 6.689e-13 7.000e-01 2.800e-01
40 7.271e+30 1.447e+14 1.000e+07 6.588e-13 7.000e-01 2.800e-01
41 7.504e+30 1.460e+14 1.000e+07 6.489e-13 7.000e-01 2.800e-01
42 7.740e+30 1.473e+14 1.000e+07 6.391e-13 7.000e-01 2.800e-01
43 7.979e+30 1.487e+14 1.000e+07 6.294e-13 7.000e-01 2.800e-01
44 8.221e+30 1.501e+14 1.000e+07 6.199e-13 7.000e-01 2.800e-01
45 8.466e+30 1.515e+14 1.000e+07 6.106e-13 7.000e-01 2.800e-01
46 8.714e+30 1.529e+14 1.000e+07 6.013e-13 7.000e-01 2.800e-01
47 8.966e+30 1.543e+14 1.000e+07 5.922e-13 7.000e-01 2.800e-01
48 9.220e+30 1.557e+14 1.000e+07 5.832e-13 7.000e-01 2.800e-01
49 9.477e+30 1.572e+14 1.000e+07 5.744e-13 7.000e-01 2.800e-01
50 9.738e+30 1.586e+14 1.000e+07 5.657e-13 7.000e-01 2.800e-01
51 1.000e+31 1.601e+14 1.000e+07 5.571e-13 7.000e-01 2.800e-01
52 1.027e+31 1.616e+14 1.000e+07 5.486e-13 7.000e-01 2.800e-01
53 1.054e+31 1.631e+14 1.000e+07 5.402e-13 7.000e-01 2.800e-01
54 1.081e+31 1.646e+14 1.000e+07 5.320e-13 7.000e-01 2.800e-01
55 1.109e+31 1.661e+14 1.000e+07 5.239e-13 7.000e-01 2.800e-01
56 1.137e+31 1.677e+14 1.000e+07 5.159e-13 7.000e-01 2.800e-01
57 1.166e+31 1.692e+14 1.000e+07 5.080e-13 7.000e-01 2.800e-01
58 1.194e+31 1.708e+14 1.000e+07 5.002e-13 7.000e-01 2.800e-01
59 1.223e+31 1.724e+14 1.000e+07 4.926e-13 7.000e-01 2.800e-01
60 1.253e+31 1.740e+14 1.000e+07 4.850e-13 7.000e-01 2.800e-01
61 1.283e+31 1.756e+14 1.000e+07 4.776e-13 7.000e-01 2.800e-01
62 1.313e+31 1.772e+14 1.000e+07 4.703e-13 7.000e-01 2.800e-01
63 1.344e+31 1.789e+14 1.000e+07 4.630e-13 7.000e-01 2.800e-01
64 1.375e+31 1.805e+14 1.000e+07 4.559e-13 7.000e-01 2.800e-01
65 1.406e+31 1.822e+14 1.000e+07 4.489e-13 7.000e-01 2.800e-01
66 1.438e+31 1.839e+14 1.000e+07 4.420e-13 7.000e-01 2.800e-01
67 1.470e+31 1.856e+14 1.000e+07 4.352e-13 7.000e-01 2.800e-01
68 1.502e+31 1.873e+14 1.000e+07 4.284e-13 7.000e-01 2.800e-01
69 1.535e+31 1.890e+14 1.000e+07 4.218e-13 7.000e-01 2.800e-01
70 1.568e+31 1.908e+14 1.000e+07 4.153e-13 7.000e-01 2.800e-01
71 1.602e+31 1.926e+14 1.000e+07 4.089e-13 7.000e-01 2.800e-01
72 1.636e+31 1.943e+14 1.000e+07 4.025e-13 7.000e-01 2.800e-01
73 1.671e+31 1.961e+14 1.000e+07 3.963e-13 7.000e-01 2.800e-01
74 1.706e+31 1.980e+14 1.000e+07 3.901e-13 7.000e-01 2.800e-01
75 1.741e+31 1.998e+14 1.000e+07 3.840e-13 7.000e-01 2.800e-01
76 1.777e+31 2.017e+14 1.000e+07 3.781e-13 7.000e-01 2.800e-01
77 1.813e+31 2.035e+14 1.000e+07 3.722e-13 7.000e-01 2.800e-01
78 1.850e+31 2.054e+14 1.000e+07 3.664e-13 7.000e-01 2.800e-01
79 1.887e+31 2.073e+14 1.000e+07 3.606e-13 7.000e-01 2.800e-01
80 1.924e+31 2.092e+14 1.000e+07 3.550e-13 7.000e-01 2.800e-01
81 1.962e+31 2.112e+14 1.000e+07 3.494e-13 7.000e-01 2.800e-01
82 2.001e+31 2.131e+14 1.000e+07 3.440e-13 7.000e-01 2.800e-01
83 2.040e+31 2.151e+14 1.000e+07 3.386e-13 7.000e-01 2.800e-01
84 2.079e+31 2.171e+14 1.000e+07 3.332e-13 7.000e-01 2.800e-01
85 2.119e+31 2.191e+14 1.000e+07 3.280e-13 7.000e-01 2.800e-01
86 2.159e+31 2.212e+14 1.000e+07 3.228e-13 7.000e-01 2.800e-01
