j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
1 2.653e+29 1.009e+14 1.000e+07 2.235e-12 7.000e-01 2.800e-01
2 5.328e+29 1.019e+14 1.000e+07 2.192e-12 7.000e-01 2.800e-01
3 8.025e+29 1.028e+14 1.000e+07 2.150e-12 7.000e-01 2.800e-01
4 1.075e+30 1.038e+14 1.000e+07 2.109e-12 7.000e-01 2.800e-01
5 1.349e+30 1.047e+14 1.000e+07 2.068e-12 7.000e-01 2.800e-01
6 1.625e+30 1.057e+14 1.000e+07 2.029e-12 7.000e-01 2.800e-01
7 1.904e+30 1.067e+14 1.000e+07 1.990e-12 7.000e-01 2.800e-01
8 2.185e+30 1.077e+14 1.000e+07 1.951e-12 7.000e-01 2.800e-01
9 2.469e+30 1.087e+14 1.000e+07 1.914e-12 7.000e-01 2.800e-01
10 2.754e+30 1.097e+14 1.000e+07 1.877e-12 7.000e-01 2.800e-01
11 3.042e+30 1.107e+14 1.000e+07 1.841e-12 7.000e-01 2.800e-01
12 3.333e+30 1.117e+14 1.000e+07 1.805e-12 7.000e-01 2.800e-01
13 3.626e+30 1.127e+14 1.000e+07 1.770e-12 7.000e-01 2.800e-01
14 3.921e+30 1.138e+14 1.000e+07 1.736e-12 7.000e-01 2.800e-01
15 4.219e+30 1.148e+14 1.000e+07 1.703e-12 7.000e-01 2.800e-01
16 4.519e+30 1.159e+14 1.000e+07 1.670e-12 7.000e-01 2.800e-01
17 4.822e+30 1.170e+14 1.000e+07 1.637e-12 7.000e-01 2.800e-01
18 5.127e+30 1.181e+14 1.000e+07 1.606e-12 7.000e-01 2.800e-01
19 5.434e+30 1.192e+14 1.000e+07 1.575e-12 7.000e-01 2.800e-01
20 5.744e+30 1.203e+14 1.000e+07 1.544e-12 7.000e-01 2.800e-01
21 6.057e+30 1.214e+14 1.000e+07 1.514e-12 7.000e-01 2.800e-01
22 6.372e+30 1.225e+14 1.000e+07 1.485e-12 7.000e-01 2.800e-01
23 6.690e+30 1.236e+14 1.000e+07 1.456e-12 7.000e-01 2.800e-01
24 7.010e+30 1.248e+14 1.000e+07 1.428e-12 7.000e-01 2.800e-01
25 7.333e+30 1.260e+14 1.000e+07 1.400e-12 7.000e-01 2.800e-01
26 7.659e+30 1.271e+14 1.000e+07 1.373e-12 7.000e-01 2.800e-01
27 7.987e+30 1.283e+14 1.000e+07 1.346e-12 7.000e-01 2.800e-01
28 8.318e+30 1.295e+14 1.000e+07 1.320e-12 7.000e-01 2.800e-01
29 8.651e+30 1.307e+14 1.000e+07 1.294e-12 7.000e-01 2.800e-01
30 8.987e+30 1.319e+14 1.000e+07 1.269e-12 7.000e-01 2.800e-01
31 9.326e+30 1.331e+14 1.000e+07 1.244e-12 7.000e-01 2.800e-01
32 9.668e+30 1.344e+14 1.000e+07 1.220e-12 7.000e-01 2.800e-01
33 1.001e+31 1.356e+14 1.000e+07 1.196e-12 7.000e-01 2.800e-01
34 1.036e+31 1.369e+14 1.000e+07 1.173e-12 7.000e-01 2.800e-01
35 1.071e+31 1.381e+14 1.000e+07 1.150e-12 7.000e-01 2.800e-01
36 1.106e+31 1.394e+14 1.000e+07 1.127e-12 7.000e-01 2.800e-01
37 1.142e+31 1.407e+14 1.000e+07 1.105e-12 7.000e-01 2.800e-01
38 1.178e+31 1.420e+14 1.000e+07 1.084e-12 7.000e-01 2.800e-01
39 1.214e+31 1.433e+14 1.000e+07 1.063e-12 7.000e-01 2.800e-01
40 1.250e+31 1.447e+14 1.000e+07 1.042e-12 7.000e-01 2.800e-01
41 1.287e+31 1.460e+14 1.000e+07 1.021e-12 7.000e-01 2.800e-01
42 1.324e+31 1.473e+14 1.000e+07 1.001e-12 7.000e-01 2.800e-01
43 1.361e+31 1.487e+14 1.000e+07 9.816e-13 7.000e-01 2.800e-01
44 1.398e+31 1.501e+14 1.000e+07 9.623e-13 7.000e-01 2.800e-01
45 1.436e+31 1.515e+14 1.000e+07 9.434e-13 7.000e-01 2.800e-01
46 1.475e+31 1.529e+14 1.000e+07 9.249e-13 7.000e-01 2.800e-01
47 1.513e+31 1.543e+14 1.000e+07 9.067e-13 7.000e-01 2.800e-01
48 1.552e+31 1.557e+14 1.000e+07 8.888e-13 7.000e-01 2.800e-01
49 1.591e+31 1.572e+14 1.000e+07 8.713e-13 7.000e-01 2.800e-01
50 1.630e+31 1.586e+14 1.000e+07 8.541e-13 7.000e-01 2.800e-01
51 1.670e+31 1.601e+14 1.000e+07 8.373e-13 7.000e-01 2.800e-01
52 1.710e+31 1.616e+14 1.000e+07 8.207e-13 7.000e-01 2.800e-01
53 1.750e+31 1.631e+14 1.000e+07 8.045e-13 7.000e-01 2.800e-01
54 1.791e+31 1.646e+14 1.000e+07 7.886e-13 7.000e-01 2.800e-01
55 1.832e+31 1.661e+14 1.000e+07 7.730e-13 7.000e-01 2.800e-01
56 1.873e+31 1.677e+14 1.000e+07 7.577e-13 7.000e-01 2.800e-01
57 1.914e+31 1.692e+14 1.000e+07 7.427e-13 7.000e-01 2.800e-01
58 1.956e+31 1.708e+14 1.000e+07 7.280e-13 7.000e-01 2.800e-01
59 1.998e+31 1.724e+14 1.000e+07 7.135e-13 7.000e-01 2.800e-01
60 2.041e+31 1.740e+14 1.000e+07 6.993e-13 7.000e-01 2.800e-01
61 2.084e+31 1.756e+14 1.000e+07 6.854e-13 7.000e-01 2.800e-01
62 2.127e+31 1.772e+14 1.000e+07 6.718e-13 7.000e-01 2.800e-01
63 2.170e+31 1.789e+14 1.000e+07 6.585e-13 7.000e-01 2.800e-01
64 2.214e+31 1.805e+14 1.000e+07 6.453e-13 7.000e-01 2.800e-01
65 2.258e+31 1.822e+14 1.000e+07 6.325e-13 7.000e-01 2.800e-01
66 2.303e+31 1.839e+14 1.000e+07 6.199e-13 7.000e-01 2.800e-01
67 2.348e+31 1.856e+14 1.000e+07 6.075e-13 7.000e-01 2.800e-01
68 2.393e+31 1.873e+14 1.000e+07 5.954e-13 7.000e-01 2.800e-01
69 2.438e+31 1.890e+14 1.000e+07 5.835e-13 7.000e-01 2.800e-01
70 2.484e+31 1.908e+14 1.000e+07 5.718e-13 7.000e-01 2.800e-01
71 2.530e+31 1.926e+14 1.000e+07 5.603e-13 7.000e-01 2.800e-01
72 2.577e+31 1.943e+14 1.000e+07 5.491e-13 7.000e-01 2.800e-01
73 2.624e+31 1.961e+14 1.000e+07 5.381e-13 7.000e-01 2.800e-01
74 2.671e+31 1.980e+14 1.000e+07 5.273e-13 7.000e-01 2.800e-01
75 2.719e+31 1.998e+14 1.000e+07 5.167e-13 7.000e-01 2.800e-01
76 2.767e+31 2.017e+14 1.000e+07 5.063e-13 7.000e-01 2.800e-01
77 2.815e+31 2.035e+14 1.000e+07 4.961e-13 7.000e-01 2.800e-01
78 2.863e+31 2.054e+14 1.000e+07 4.861e-13 7.000e-01 2.800e-01
79 2.912e+31 2.073e+14 1.000e+07 4.763e-13 7.000e-01 2.800e-01
80 2.962e+31 2.092e+14 1.000e+07 4.667e-13 7.000e-01 2.800e-01
81 3.011e+31 2.112e+14 1.000e+07 4.573e-13 7.000e-01 2.800e-01
82 3.062e+31 2.131e+14 1.000e+07 4.481e-13 7.000e-01 2.800e-01
83 3.112e+31 2.151e+14 1.000e+07 4.390e-13 7.000e-01 2.800e-01
84 3.163e+31 2.171e+14 1.000e+07 4.301e-13 7.000e-01 2.800e-01
85 3.214e+31 2.191e+14 1.000e+07 4.214e-13 7.000e-01 2.800e-01
86 3.266e+31 2.212e+14 1.000e+07 4.128e-13 7.000e-01 2.800e-01
87 3.317e+31 2.232e+14 1.000e+07 4.045e-13 7.000e-01 2.800e-01
88 3.370e+31 2.253e+14 1.000e+07 3.962e-13 7.000e-01 2.800e-01
89 3.422e+31 2.274e+14 1.000e+07 3.882e-13 7.000e-01 2.800e-01
90 3.475e+31 2.295e+14 1.000e+07 3.803e-13 7.000e-01 2.800e-01
91 3.529e+31 2.316e+14 1.000e+07 3.725e-13 7.000e-01 2.800e-01
92 3.583e+31 2.337e+14 1.000e+07 3.649e-13 7.000e-01 2.800e-01
93 3.637e+31 2.359e+14 1.000e+07 3.575e-13 7.000e-01 2.800e-01
94 3.691e+31 2.381e+14 1.000e+07 3.502e-13 7.000e-01 2.800e-01
95 3.746e+31 2.403e+14 1.000e+07 3.430e-13 7.000e-01 2.800e-01
96 3.802e+31 2.425e+14 1.000e+07 3.360e-13 7.000e-01 2.800e-01
97 3.857e+31 2.448e+14 1.000e+07 3.291e-13 7.000e-01 2.800e-01
98 3.914e+31 2.471e+14 1.000e+07 3.224e-13 7.000e-01 2.800e-01
99 3.970e+31 2.493e+14 1.000e+07 3.157e-13 7.000e-01 2.800e-01
100 4.027e+31 2.517e+14 1.000e+07 3.093e-13 7.000e-01 2.800e-01
101 4.084e+31 2.540e+14 1.000e+07 3.029e-13 7.000e-01 2.800e-01
102 4.142e+31 2.563e+14 1.000e+07 2.967e-13 7.000e-01 2.800e-01
103 4.200e+31 2.587e+14 1.000e+07 2.905e-13 7.000e-01 2.800e-01
104 4.258e+31 2.611e+14 1.000e+07 2.845e-13 7.000e-01 2.800e-01
105 4.317e+31 2.635e+14 1.000e+07 2.787e-13 7.000e-01 2.800e-01
106 4.377e+31 2.660e+14 1.000e+07 2.729e-13 7.000e-01 2.800e-01
107 4.436e+31 2.684e+14 1.000e+07 2.672e-13 7.000e-01 2.800e-01
108 4.496e+31 2.709e+14 1.000e+07 2.617e-13 7.000e-01 2.800e-01
109 4.557e+31 2.734e+14 1.000e+07 2.563e-13 7.000e-01 2.800e-01
110 4.618e+31 2.760e+14 1.000e+07 2.510e-13 7.000e-01 2.800e-01
111 4.679e+31 2.785e+14 1.000e+07 2.457e-13 7.000e-01 2.800e-01
112 4.741e+31 2.811e+14 1.000e+07 2.406e-13 7.000e-01 2.800e-01
113 4.803e+31 2.837e+14 1.000e+07 2.356e-13 7.000e-01 2.800e-01
114 4.865e+31 2.864e+14 1.000e+07 2.307e-13 7.000e-01 2.800e-01
115 4.928e+31 2.890e+14 1.000e+07 2.259e-13 7.000e-01 2.800e-01
116 4.992e+31 2.917e+14 1.000e+07 2.211e-13 7.000e-01 2.800e-01
117 5.056e+31 2.944e+14 1.000e+07 2.165e-13 7.000e-01 2.800e-01
118 5.120e+31 2.971e+14 1.000e+07 2.120e-13 7.000e-01 2.800e-01
119 5.184e+31 2.999e+14 1.000e+07 2.075e-13 7.000e-01 2.800e-01
120 5.249e+31 3.027e+14 1.000e+07 2.032e-13 7.000e-01 2.800e-01
121 5.315e+31 3.055e+14 1.000e+07 1.989e-13 7.000e-01 2.800e-01
122 5.381e+31 3.083e+14 1.000e+07 1.947e-13 7.000e-01 2.800e-01
123 5.447e+31 3.112e+14 1.000e+07 1.906e-13 7.000e-01 2.800e-01
124 5.514e+31 3.140e+14 1.000e+07 1.866e-13 7.000e-01 2.800e-01
125 5.581e+31 3.170e+14 1.000e+07 1.826e-13 7.000e-01 2.800e-01
126 5.648e+31 3.199e+14 1.000e+07 1.788e-13 7.000e-01 2.800e-01
127 5.716e+31 3.229e+14 1.000e+07 1.750e-13 7.000e-01 2.800e-01
128 5.785e+31 3.259e+14 1.000e+07 1.713e-13 7.000e-01 2.800e-01
129 5.854e+31 3.289e+14 1.000e+07 1.676e-13 7.000e-01 2.800e-01
130 5.923e+31 3.319e+14 1.000e+07 1.640e-13 7.000e-01 2.800e-01
131 5.992e+31 3.350e+14 1.000e+07 1.606e-13 7.000e-01 2.800e-01
132 6.063e+31 3.381e+14 1.000e+07 1.571e-13 7.000e-01 2.800e-01
133 6.133e+31 3.412e+14 1.000e+07 1.538e-13 7.000e-01 2.800e-01
134 6.204e+31 3.444e+14 1.000e+07 1.505e-13 7.000e-01 2.800e-01
135 6.275e+31 3.476e+14 1.000e+07 1.473e-13 7.000e-01 2.800e-01
136 6.347e+31 3.508e+14 1.000e+07 1.441e-13 7.000e-01 2.800e-01
137 6.420e+31 3.541e+14 1.000e+07 1.410e-13 7.000e-01 2.800e-01
138 6.492e+31 3.574e+14 1.000e+07 1.380e-13 7.000e-01 2.800e-01
139 6.565e+31 3.607e+14 1.000e+07 1.350e-13 7.000e-01 2.800e-01
140 6.639e+31 3.640e+14 1.000e+07 1.321e-13 7.000e-01 2.800e-01
141 6.713e+31 3.674e+14 1.000e+07 1.292e-13 7.000e-01 2.800e-01
142 6.787e+31 3.708e+14 1.000e+07 1.264e-13 7.000e-01 2.800e-01
143 6.862e+31 3.742e+14 1.000e+07 1.237e-13 7.000e-01 2.800e-01
144 6.937e+31 3.777e+14 1.000e+07 1.210e-13 7.000e-01 2.800e-01
145 7.013e+31 3.812e+14 1.000e+07 1.184e-13 7.000e-01 2.800e-01
146 7.089e+31 3.847e+14 1.000e+07 1.158e-13 7.000e-01 2.800e-01
147 7.166e+31 3.883e+14 1.000e+07 1.133e-13 7.000e-01 2.800e-01
148 7.243e+31 3.919e+14 1.000e+07 1.108e-13 7.000e-01 2.800e-01
